longitude,latitude,state,BII_All_Plants,BII_Trees,BII_Forbs,BII_Graminoids,Land_Use_Intensity,bio12_precip,elevation,slope
7.253895919265136,8.888829736362666,Abuja,0.35786125,0.25273353,0.4801476,0.3768627,0.33627325,1265.4764109833357,315,0.7169785
8.960694959092228,7.307794836312308,Benue,0.40309596,0.2882294,0.5339094,0.43240166,0.062900096,1329.576553174718,185,0.7010853
7.505424198818602,7.864750312466411,Kogi,0.4102558,0.29384777,0.5424189,0.44119245,0.020004533,1301.3987393796613,115,1.3194765
7.262879072106331,8.969678111933423,Abuja,0.35616168,0.25139987,0.47812763,0.37477598,0.34409007,1277.3212510594412,312,0.5734639
8.798998207950714,10.245285815383143,Plateau,0.52619886,0.37807387,0.6445454,0.56876904,0.045149896,1277.0361859914951,880,0.45675966
8.888829736362666,9.91290916025892,Plateau,0.4113873,0.27883494,0.5166542,0.45197925,0.33911738,1260.7828266654803,1212,1.4051926
7.235929613582746,8.996627570457008,Abuja,0.3579901,0.25283462,0.4803007,0.37702087,0.33313587,1284.0311353347113,310,0.4774931
9.239172697169279,6.876603499934937,Benue,0.40756315,0.29173484,0.53921866,0.43788645,0.036136553,1740.176825701005,230,0.49841872
4.5858995254301576,8.475604705667685,Kwara,0.38892686,0.27711084,0.5170693,0.41500488,0.14778924,1140.2615765407681,323,1.009423
8.502554164191272,7.694070408483702,Benue,0.393998,0.2810902,0.5230964,0.4212312,0.11740726,1196.5659351965244,79,0.4141822
7.155081238011989,9.185273780122108,Niger,0.3215833,0.22426605,0.43703097,0.3323208,0.5521838,1281.7938070776959,346,2.8640811
5.079972931695894,9.29307161421645,Niger,0.42560172,0.3095879,0.57077765,0.43266362,0.026706913,1031.7286439686168,190,0.7347621
7.469491587453821,9.08645909886896,Abuja,0.35578376,0.2511033,0.47767848,0.37431195,0.34635425,1333.9658161119767,497,0.58232343
7.119148626647208,8.924762347727446,Abuja,0.35760596,0.2525332,0.47984418,0.37654924,0.33543712,1247.6494250099336,195,0.42912135
8.349840565890952,8.385773177255734,Nassarawa,0.4078499,0.29195985,0.5395595,0.4382385,0.021910202,1248.158822950931,130,0.45448226
9.248155850010475,8.367806871573343,Nassarawa,0.4109915,0.29442507,0.5432933,0.44209576,0.015596819,1182.0006017717678,110,0.38131586
9.131374863074937,9.364936836946011,Plateau,0.47069454,0.32381004,0.57917994,0.54764897,0.050775338,1165.7773948786562,1281,0.8199611
8.870863430680275,9.885959701735334,Plateau,0.41114482,0.27865106,0.51639855,0.4515881,0.3381006,1274.845624466088,1277,0.9085166
9.706296644911431,9.346970531263622,Plateau,0.47505054,0.32711336,0.5837723,0.5546757,0.029597288,1047.4860720567733,448,1.475529
7.442542128930236,9.06849279318657,Abuja,0.3544271,0.25003874,0.47606608,0.37264627,0.35448214,1325.4093396220144,445,0.52838624
9.041543334662984,7.325761141994698,Benue,0.47923422,0.35707945,0.62019044,0.49094743,0.05774834,1379.6172537338834,220,2.2568767
7.496441045977408,8.772048749427128,Abuja,0.35800427,0.25284576,0.48031756,0.37703827,0.33305088,1313.480836752766,804,3.0288634
4.576916372588962,8.484587858508881,Kwara,0.35519138,0.25063846,0.47697443,0.37358463,0.3499033,1140.2615765407681,303,1.412571
8.807981360791908,8.143228050543463,Nassarawa,0.40872416,0.29264587,0.5405986,0.43931192,0.029180754,1249.0633620494468,124,0.4837762
6.5172773862871285,9.643414575023064,Niger,0.40602607,0.29052866,0.53739184,0.43599918,0.04241453,1145.6088246907616,267,0.3322595
9.814094479005773,9.149341168757326,Plateau,0.46963447,0.32300615,0.5780623,0.5459389,0.056595527,1054.6455267810272,311,0.6783033
8.529503622714858,8.511537317032467,Nassarawa,0.40474486,0.2895233,0.5358691,0.43442616,0.05040748,1302.0296701676984,200,0.82462096
7.41559267040665,8.906796042045055,Abuja,0.3580019,0.2528439,0.48031473,0.37703538,0.3330651,1288.045377742046,392,0.753842
8.134244897702267,7.208980155059161,Benue,0.4002547,0.28599986,0.53053254,0.42891318,0.07992246,1284.1082080223923,159,0.84250635
6.3825300936692,7.43355897608904,Kogi,0.3585277,0.2532565,0.48093966,0.37768096,0.32991493,1256.4546790868044,171,0.3868564
4.567933219747767,8.484587858508881,Kwara,0.24778758,0.1663582,0.34932417,0.24171478,0.9913238,1140.2615765407681,292,1.1699423
6.086086049909758,7.541356810183383,Kogi,0.49403816,0.38982442,0.60163623,0.6403047,0.29791078,1379.2851259694858,402,0.59745836
6.921519264140914,8.592385692603223,Abuja,0.5342939,0.4327442,0.6383209,0.67244226,0.048672657,1171.8437628058548,190,2.7757583
9.176290627280913,6.849654041411352,Benue,0.40892434,0.29280296,0.54083645,0.4395577,0.02798143,1765.1983399523253,222,0.27516365
7.280845377788722,8.93374550056864,Abuja,0.35779506,0.25268158,0.48006892,0.3767814,0.33313587,1264.1634871251686,309,1.0332315
7.271862224947527,9.023577028980593,Abuja,0.3579995,0.25284204,0.48031193,0.37703246,0.3330793,1280.9082195928383,340,0.3029148
4.514034302700596,8.511537317032467,Kwara,0.31011763,0.21526888,0.42340392,0.3182433,0.19134589,1158.4092721492052,298,0.8210569
7.496441045977408,9.023577028980593,Abuja,0.35480806,0.2503377,0.47651887,0.373114,0.35219976,1328.1600110154752,500,1.273942
4.576916372588962,10.7034266102841,Niger,0.59569174,0.41843772,0.7350227,0.6555965,0.01747613,956.1093511695614,203,0.4859748
7.047283403917646,7.676104102801312,Kogi,0.49403816,0.38982442,0.60163623,0.6403047,0.026324604,1315.767427915448,157,0.8435988
7.41559267040665,8.978661264774617,Abuja,0.35623017,0.2514536,0.47820905,0.37486008,0.3436797,1308.8942506714081,458,1.1175293
